LIVE SERVER ENGINE PROFILE
max_running=8
max_seq_len=4096
token_budget=32768
cuda_graphs=False
profile_steps=10

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    engine.decode_batch         0.00%       0.000us         0.00%       0.000us       0.000us     382.805ms       247.17%     382.805ms      54.686ms           0 b           0 b           0 b           0 b             7            --  
                                          ProfilerStep*         0.60%       3.150ms       100.00%     527.809ms      52.781ms       0.000us         0.00%     145.635ms      14.564ms           0 b           0 b           0 b           0 b            10            --  
                                     server.engine_step         0.23%       1.199ms        96.82%     511.010ms      51.101ms       0.000us         0.00%     145.635ms      14.564ms           0 b           0 b           0 b           0 b            10            --  
                                   engine.prefill_batch         0.00%       0.000us         0.00%       0.000us       0.000us     121.190ms        78.25%     121.190ms      60.595ms           0 b           0 b           0 b           0 b             2            --  
                                    engine.decode_batch        30.83%     162.741ms        73.38%     387.333ms      55.333ms       0.000us         0.00%     109.346ms      15.621ms           0 b        -864 b           0 b     -12.03 Gb             7            --  
                                           aten::linear         1.03%       5.418ms        22.31%     117.735ms      77.406us       0.000us         0.00%     107.954ms      70.976us           0 b           0 b     857.71 Mb           0 b          1521            --  
                                           aten::matmul         3.21%      16.923ms        19.13%     100.970ms      66.384us       0.000us         0.00%     107.954ms      70.976us           0 b           0 b     857.71 Mb      -8.00 Kb          1521            --  
                                               aten::mm         8.52%      44.975ms        14.41%      76.047ms      49.998us     104.784ms        67.66%     107.954ms      70.976us           0 b           0 b     857.71 Mb     857.71 Mb          1521   3218204.000  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      76.918ms        49.66%      76.918ms      64.964us           0 b           0 b           0 b           0 b          1184            --  
                                   engine.prefill_batch         9.21%      48.626ms        23.05%     121.660ms      60.830ms       0.000us         0.00%      36.289ms      18.145ms           0 b      -3.41 Kb           0 b      -2.09 Gb             2            --  
                                            aten::index         1.88%       9.921ms         3.13%      16.545ms      31.818us      24.817ms        16.02%      24.817ms      47.725us           0 b           0 b      11.87 Gb      11.87 Gb           520            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.772ms        15.99%      24.772ms      48.956us           0 b           0 b           0 b           0 b           506            --  
                                      _flash_decode_fwd         0.00%       0.000us         0.00%       0.000us       0.000us      12.219ms         7.89%      12.219ms      62.340us           0 b           0 b           0 b           0 b           196            --  
ampere_bf16_s1688gemm_bf16_64x128_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      12.054ms         7.78%      12.054ms     143.494us           0 b           0 b           0 b           0 b            84            --  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       6.525ms         4.21%       6.525ms     116.522us           0 b           0 b           0 b           0 b            56            --  
ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       4.056ms         2.62%       4.056ms     144.856us           0 b           0 b           0 b           0 b            28            --  
                                           Unrecognized         2.13%      11.257ms         2.13%      11.257ms       1.126ms       3.312ms         2.14%       3.312ms     331.240us           0 b           0 b           0 b           0 b            10            --  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%     205.341us         2.12%      11.183ms      82.230us       0.000us         0.00%       3.109ms      22.862us           0 b           0 b           0 b           0 b           136            --  
                                              aten::mul         2.43%      12.812ms         3.90%      20.569ms      20.405us       2.109ms         1.36%       2.109ms       2.092us           0 b           0 b     247.62 Mb     247.62 Mb          1008       129.827  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.109ms         1.36%       2.109ms       2.092us           0 b           0 b           0 b           0 b          1008            --  
                                       aten::index_put_         0.29%       1.535ms         3.68%      19.416ms      38.524us       0.000us         0.00%       1.705ms       3.383us           0 b           0 b           0 b           0 b           504            --  
                                 aten::_index_put_impl_         1.66%       8.775ms         3.39%      17.881ms      35.478us       1.705ms         1.10%       1.705ms       3.383us           0 b           0 b           0 b           0 b           504            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.705ms         1.10%       1.705ms       3.383us           0 b           0 b           0 b           0 b           504            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       1.695ms         1.09%       1.695ms      30.274us           0 b           0 b           0 b           0 b            56            --  
                                              aten::cat         1.47%       7.785ms         2.13%      11.266ms      22.354us       1.513ms         0.98%       1.513ms       3.002us           0 b           0 b     123.81 Mb     123.81 Mb           504            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.513ms         0.98%       1.513ms       3.002us           0 b           0 b           0 b           0 b           504            --  
                                         cuLaunchKernel         4.51%      23.808ms         4.51%      23.808ms      10.549us       1.487ms         0.96%       1.487ms       0.659us           0 b           0 b           0 b           0 b          2257            --  
                                              aten::add         2.11%      11.155ms         3.47%      18.300ms      18.154us       1.317ms         0.85%       1.317ms       1.306us           0 b           0 b     309.53 Mb     309.53 Mb          1008       162.284  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.317ms         0.85%       1.317ms       1.306us           0 b           0 b           0 b           0 b          1008            --  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.157ms         0.75%       1.157ms      20.661us           0 b           0 b           0 b           0 b            56            --  
                                           aten::cumsum         0.04%     218.313us         0.08%     399.466us      44.385us       1.128ms         0.73%       1.138ms     126.397us           0 b           0 b       8.85 Mb       8.85 Mb             9            --  
void at::native::tensor_kernel_scan_innermost_dim<c1...         0.00%       0.000us         0.00%       0.000us       0.000us       1.124ms         0.73%       1.124ms     140.457us           0 b           0 b           0 b           0 b             8            --  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.035ms         0.67%       1.035ms       1.035ms           0 b           0 b           0 b           0 b             1            --  
                                              aten::neg         1.08%       5.711ms         1.88%       9.928ms      19.697us     953.736us         0.62%     953.736us       1.892us           0 b           0 b      77.71 Mb      77.71 Mb           504            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     953.736us         0.62%     953.736us       1.892us           0 b           0 b           0 b           0 b           504            --  
                                           _rmsnorm_fwd         0.00%       0.000us         0.00%       0.000us       0.000us     802.399us         0.52%     802.399us       1.564us           0 b           0 b           0 b           0 b           513            --  
                                             aten::sort         0.14%     730.533us         0.39%       2.071ms     230.106us     661.507us         0.43%     725.124us      80.569us           0 b           0 b      43.61 Mb      43.61 Mb             9            --  
                                          aten::softmax         0.01%      64.993us         0.08%     434.047us      24.114us       0.000us         0.00%     715.139us      39.730us           0 b           0 b      26.76 Mb           0 b            18            --  
                                         aten::_softmax         0.04%     219.674us         0.07%     369.054us      20.503us     715.139us         0.46%     715.139us      39.730us           0 b           0 b      26.76 Mb      26.76 Mb            18            --  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     670.021us         0.43%     670.021us       1.259us           0 b           0 b           0 b           0 b           532            --  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     622.438us         0.40%     622.438us      11.115us           0 b           0 b           0 b           0 b            56            --  
                                     _flash_prefill_fwd         0.00%       0.000us         0.00%       0.000us       0.000us     594.305us         0.38%     594.305us      10.613us           0 b           0 b           0 b           0 b            56            --  
                                      aten::multinomial         0.14%     718.705us         0.77%       4.048ms     449.825us       0.000us         0.00%     530.822us      58.980us           0 b           0 b       4.50 Kb     -18.53 Mb             9            --  
                                            _swiglu_fwd         0.00%       0.000us         0.00%       0.000us       0.000us     416.317us         0.27%     416.317us       1.652us           0 b           0 b           0 b           0 b           252            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     370.721us         0.24%     370.721us      41.191us           0 b           0 b           0 b           0 b             9            --  
                                             aten::topk         0.15%     767.011us         0.36%       1.875ms     208.352us     280.736us         0.18%     365.024us      40.558us           0 b           0 b      22.00 Kb      22.00 Kb             9            --  
void at_cuda_detail::cub::DeviceRadixSortDownsweepKe...         0.00%       0.000us         0.00%       0.000us       0.000us     352.960us         0.23%     352.960us      13.073us           0 b           0 b           0 b           0 b            27            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     344.418us         0.22%     344.418us      38.269us           0 b           0 b           0 b           0 b             9            --  
