LIVE SERVER ENGINE PROFILE
max_running=8
max_seq_len=4096
token_budget=32768
cuda_graphs=True
profile_steps=10

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    engine.decode_batch         0.00%       0.000us         0.00%       0.000us       0.000us     180.318ms        94.09%     180.318ms      22.540ms           0 b           0 b           0 b           0 b             8            --  
                                   engine.prefill_batch         0.00%       0.000us         0.00%       0.000us       0.000us     116.002ms        60.53%     116.002ms      58.001ms           0 b           0 b           0 b           0 b             2            --  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      77.416ms        40.40%      77.416ms      65.385us           0 b           0 b           0 b           0 b          1184            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.923ms        23.96%      45.923ms      81.713us           0 b           0 b           0 b           0 b           562            --  
                                          ProfilerStep*         0.88%       2.826ms        99.94%     319.954ms      31.995ms       0.000us         0.00%      35.484ms       3.548ms           0 b           0 b           0 b           0 b            10            --  
                                     server.engine_step         0.87%       2.781ms        95.39%     305.389ms      30.539ms       0.000us         0.00%      35.484ms       3.548ms           0 b           0 b           0 b           0 b            10            --  
                                   engine.prefill_batch        15.60%      49.943ms        36.45%     116.681ms      58.340ms       0.000us         0.00%      32.072ms      16.036ms           0 b      -3.41 Kb           0 b      -2.11 Gb             2            --  
                                           aten::linear         0.43%       1.387ms         7.74%      24.780ms      73.313us       0.000us         0.00%      28.615ms      84.660us           0 b           0 b     814.24 Mb           0 b           338            --  
                                           aten::matmul         1.22%       3.904ms         6.39%      20.464ms      60.545us       0.000us         0.00%      28.615ms      84.660us           0 b           0 b     814.24 Mb           0 b           338            --  
                                               aten::mm         3.06%       9.801ms         4.66%      14.918ms      44.137us      28.615ms        14.93%      28.615ms      84.660us           0 b           0 b     814.24 Mb     814.24 Mb           338   3072910.688  
                                      _flash_decode_fwd         0.00%       0.000us         0.00%       0.000us       0.000us      17.927ms         9.35%      17.927ms      80.033us           0 b           0 b           0 b           0 b           224            --  
ampere_bf16_s1688gemm_bf16_64x128_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      12.039ms         6.28%      12.039ms     143.317us           0 b           0 b           0 b           0 b            84            --  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       6.601ms         3.44%       6.601ms     117.870us           0 b           0 b           0 b           0 b            56            --  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       5.518ms         2.88%       5.518ms      98.539us           0 b           0 b           0 b           0 b            56            --  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       4.224ms         2.20%       4.224ms      37.048us           0 b           0 b           0 b           0 b           114            --  
ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       4.091ms         2.13%       4.091ms     146.121us           0 b           0 b           0 b           0 b            28            --  
                                    engine.decode_batch         1.78%       5.685ms        57.91%     185.414ms      23.177ms       0.000us         0.00%       3.412ms     426.498us           0 b      -1.45 Kb           0 b    -184.76 Mb             8            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.103ms         1.10%       2.103ms       1.877us           0 b           0 b           0 b           0 b          1120            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       1.731ms         0.90%       1.731ms      30.902us           0 b           0 b           0 b           0 b            56            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.669ms         0.87%       1.669ms       2.980us           0 b           0 b           0 b           0 b           560            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.411ms         0.74%       1.411ms       2.520us           0 b           0 b           0 b           0 b           560            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.368ms         0.71%       1.368ms       1.221us           0 b           0 b           0 b           0 b          1120            --  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.149ms         0.60%       1.149ms      20.521us           0 b           0 b           0 b           0 b            56            --  
                                           aten::cumsum         0.06%     186.067us         0.09%     285.155us      28.515us       1.133ms         0.59%       1.133ms     113.274us           0 b           0 b      14.98 Mb      14.98 Mb            10            --  
void at::native::tensor_kernel_scan_innermost_dim<c1...         0.00%       0.000us         0.00%       0.000us       0.000us       1.123ms         0.59%       1.123ms     140.365us           0 b           0 b           0 b           0 b             8            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     929.807us         0.49%     929.807us       1.660us           0 b           0 b           0 b           0 b           560            --  
                                           _rmsnorm_fwd         0.00%       0.000us         0.00%       0.000us       0.000us     837.415us         0.44%     837.415us       1.469us           0 b           0 b           0 b           0 b           570            --  
                                             aten::sort         0.24%     782.264us         0.61%       1.939ms     193.886us     804.098us         0.42%     827.266us      82.727us           0 b           0 b      55.14 Mb      55.14 Mb            10            --  
                                          aten::softmax         0.03%      99.232us         0.16%     507.277us      25.364us       0.000us         0.00%     794.180us      39.709us           0 b           0 b      35.04 Mb           0 b            20            --  
                                         aten::_softmax         0.08%     254.084us         0.13%     408.045us      20.402us     794.180us         0.41%     794.180us      39.709us           0 b           0 b      35.04 Mb      35.04 Mb            20            --  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     643.454us         0.34%     643.454us       1.210us           0 b           0 b           0 b           0 b           532            --  
                                              aten::mul         0.92%       2.945ms         1.48%       4.754ms      21.222us     626.401us         0.33%     626.401us       2.796us           0 b           0 b     238.00 Mb     238.00 Mb           224       124.781  
                                            _swiglu_fwd         0.00%       0.000us         0.00%       0.000us       0.000us     618.501us         0.32%     618.501us       2.209us           0 b           0 b           0 b           0 b           280            --  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     615.400us         0.32%     615.400us      10.989us           0 b           0 b           0 b           0 b            56            --  
                                      aten::multinomial         0.21%     664.005us         1.22%       3.895ms     389.474us       0.000us         0.00%     605.924us      60.592us           0 b           0 b       5.00 Kb     -20.68 Mb            10            --  
                                     _flash_prefill_fwd         0.00%       0.000us         0.00%       0.000us       0.000us     597.477us         0.31%     597.477us      10.669us           0 b           0 b           0 b           0 b            56            --  
                                              aten::add         0.84%       2.683ms         1.35%       4.325ms      19.310us     472.164us         0.25%     472.164us       2.108us           0 b           0 b     297.50 Mb     297.50 Mb           224       155.976  
                                              aten::cat         0.56%       1.790ms         0.83%       2.650ms      23.661us     466.437us         0.24%     466.437us       4.165us           0 b           0 b     119.00 Mb     119.00 Mb           112            --  
void at_cuda_detail::cub::DeviceRadixSortDownsweepKe...         0.00%       0.000us         0.00%       0.000us       0.000us     435.748us         0.23%     435.748us      14.525us           0 b           0 b           0 b           0 b            30            --  
                                            aten::index         0.86%       2.748ms         1.44%       4.613ms      35.484us     415.969us         0.22%     415.969us       3.200us           0 b           0 b      59.60 Mb      59.60 Mb           130            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     411.745us         0.21%     411.745us      41.174us           0 b           0 b           0 b           0 b            10            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     382.435us         0.20%     382.435us      38.243us           0 b           0 b           0 b           0 b            10            --  
                                       aten::index_put_         0.11%     351.732us         1.14%       3.645ms      32.540us       0.000us         0.00%     374.147us       3.341us           0 b           0 b           0 b           0 b           112            --  
                                 aten::_index_put_impl_         0.53%       1.711ms         1.03%       3.293ms      29.400us     374.147us         0.20%     374.147us       3.341us           0 b           0 b           0 b           0 b           112            --  
                                             aten::topk         0.23%     742.007us         0.56%       1.779ms     177.908us     316.863us         0.17%     349.215us      34.922us           0 b           0 b      22.50 Kb      22.50 Kb            10            --  
                                            aten::copy_         0.36%       1.142ms        46.83%     149.917ms     861.590us     245.057us         0.13%     245.057us       1.408us           0 b           0 b           0 b           0 b           174            --  
                                              aten::neg         0.44%       1.411ms         0.77%       2.463ms      21.993us     234.725us         0.12%     234.725us       2.096us           0 b           0 b      75.30 Mb      75.30 Mb           112            --  
                                           aten::argmax         0.03%     105.990us         0.05%     173.840us      17.384us     216.801us         0.11%     216.801us      21.680us           0 b           0 b           0 b           0 b            10            --  
